number of points;est
1050;3.21905
1050;3.2381
1050;3.14286
1100;3.22909
1100;3.19636
1100;3.18545
1100;3.15273
1100;3.18909
1100;3.13091
1100;3.11636
1100;3.17455
1100;3.17455
1100;3.08727
1100;3.12364
1100;3.22909
1100;3.18545
1100;3.14545
1100;3.08727
1100;3.11273
1100;3.19273
1100;3.17455
1100;3.18909
1100;3.11636
1100;3.14545
1100;3.04364
1100;3.04364
1100;3.08
1100;3.05818
1100;3.07636
1100;3.13455
1100;3.13091
1100;3.17091
1100;3.09818
1100;3.19636
1100;3.18182
1100;3.19273
1100;3.15636
1100;3.08
1100;3.16364
1100;3.08364
1100;3.14182
1100;3.09818
1100;3.06909
1100;3.12
1100;3.09818
1100;3.18182
1100;3.18909
1100;3.18545
1100;3.13455
1100;3.12
1100;3.08727
1100;3.11273
1100;3.02545
1150;3.18261
1150;3.17913
1150;3.11652
1150;2.9913
1150;3.14435
1150;3.1687
1150;3.13739
1150;3.11304
1150;3.12696
1150;3.2313
1150;3.12348
1150;3.19652
1150;3.10957
1150;3.25217
1150;3.0887
1150;3.15826
1150;3.14087
1150;3.12348
1150;3.12
1150;3.2313
1150;3.21739
1150;3.11652
1150;3.15478
1150;3.1513
1150;3.0887
1150;3.19304
1150;3.1687
1150;3.02609
1150;3.1513
1150;3.14087
1150;3.15826
1150;3.14435
1150;3.14783
1150;3.14435
1150;3.04696
1150;3.11304
1150;3.17913
1150;3.22087
1150;3.12696
1150;3.08174
1150;3.08522
1150;3.17217
1150;3.16174
1150;3.13739
1150;3.12
1150;3.15478
1150;3.07478
1150;3.04696
1150;3.17565
1150;3.1513
1200;3.13
1200;3.1
1200;3.15667
1200;3.20333
1200;3.19333
1200;3.20333
1200;3.13667
1200;3.14667
1200;3.21333
1200;3.17333
1200;3.17333
1200;3.19667
1200;3.07333
1200;3.05
1200;3.07667
1200;3.18
1200;3.18333
1200;3.17667
1200;3.10333
1200;3.2
1200;3.11
1200;3.16333
1200;3.27333
1200;3.11667
1200;3.10667
1200;3.03333
1200;3.09333
1200;3.2
1200;3.07667
1200;3.16
1200;3.03333
1200;3.09667
1200;3.17333
1200;3.14
1200;3.19
1200;3.12
1200;3.10667
1200;3.16
1200;3.17667
1200;3.12333
1200;3.18333
1200;3.18667
1200;3.16333
1200;3.14
1200;3.12333
1200;3.25333
1200;3.18
1200;3.18
1200;3.17
1200;3.03
1250;3.1552
1250;3.0944
1250;3.0656
1250;3.0912
1250;3.0944
1250;3.04
1250;3.0496
1250;3.1104
1250;3.136
1250;3.1168
1250;3.0816
1250;3.0816
1250;3.1232
1250;3.12
1250;3.1232
1250;3.0784
1250;3.1648
1250;3.1296
1250;3.1936
1250;3.0976
1250;3.152
1250;3.0944
1250;3.2288
1250;3.088
1250;3.1008
1250;3.0656
1250;3.1296
1250;3.1552
1250;3.1648
1250;3.2512
1250;3.0784
1250;3.1456
1250;3.1776
1250;3.1872
1250;3.232
1250;3.0976
1250;3.1136
1250;3.1264
1250;3.1296
1250;3.1392
1250;3.1552
1250;3.2128
1250;3.0976
1250;3.1328
1250;3.2
1250;3.1424
1250;3.0944
1250;3.1648
1250;3.0528
1250;3.2032
1300;3.17846
1300;3.14154
1300;3.12308
1300;3.06462
1300;3.15692
1300;3.11692
1300;3.10462
1300;3.12
1300;3.24
1300;3.07077
1300;3.19077
1300;3.10462
1300;3.21231
1300;3.13538
1300;3.12
1300;3.11385
1300;3.07077
1300;3.08923
1300;3.22154
1300;3.15077
1300;3.06462
1300;3.13538
1300;3.15385
1300;3.23692
1300;3.05538
1300;3.10769
1300;3.15077
1300;3.16
1300;3.16615
1300;3.14462
1300;3.14462
1300;3.14462
1300;3.13846
1300;3.16308
1300;3.16923
1300;3.15692
1300;3.19692
1300;3.16923
1300;3.15385
1300;3.18154
1300;3.12
1300;3.14769
1300;3.15692
1300;3.16308
1300;3.2
1300;3.13846
1300;3.26462
1300;3.17538
1300;3.16923
1300;3.07385
1350;3.18815
1350;3.2237
1350;3.15556
1350;3.16741
1350;3.19407
1350;3.11111
1350;3.08148
1350;3.14667
1350;3.09037
1350;3.18519
1350;3.17037
1350;3.1437
1350;3.13778
1350;3.18222
1350;3.07852
1350;3.02222
1350;3.18519
1350;3.12889
1350;3.20889
1350;3.2
1350;3.17037
1350;3.10519
1350;3.1437
1350;3.15852
1350;3.14963
1350;3.16444
1350;3.18519
1350;3.11111
1350;3.09926
1350;3.11407
1350;3.1437
1350;3.14963
1350;3.12296
1350;3.1763
1350;3.22963
1350;3.14963
1350;3.10519
1350;3.13185
1350;3.11111
1350;3.12593
1350;3.04593
1350;3.17926
1350;3.18519
1350;3.10815
1350;3.13778
1350;3.0963
1350;3.19704
1350;3.18519
1350;3.17926
1350;3.19111
1400;3.16857
1400;3.12
1400;3.1
1400;3.16
1400;3.27143
1400;3.23714
1400;3.11143
1400;3.12286
1400;3.14571
1400;3.14857
1400;3.12571
1400;3.08
1400;3.1
1400;3.19714
1400;3.12286
1400;3.22857
1400;3.14
1400;3.11429
1400;3.24286
1400;3.2
1400;3.14286
1400;3.25429
1400;3.06857
1400;3.13143
1400;3.16857
1400;3.14
1400;3.14857
1400;3.08857
1400;3.04571
1400;3.09429
1400;3.13714
1400;3.15429
1400;3.15714
1400;3.19143
1400;3.11714
1400;3.07714
1400;3.14571
1400;3.17143
1400;3.08
1400;3.15714
1400;3.20571
1400;3.16
1400;3.15714
1400;3.06857
1400;3.10286
1400;3.09714
1400;3.18286
1400;3.23714
1400;3.16857
1400;3.16
1450;3.18345
1450;3.2469
1450;3.12552
1450;3.10345
1450;3.18621
1450;3.12276
1450;3.17241
1450;3.18621
1450;3.13103
1450;3.15586
1450;3.17241
1450;3.10621
1450;3.17793
1450;3.16138
1450;3.10621
1450;3.15862
1450;3.15586
1450;3.17793
1450;3.05931
1450;3.11448
1450;3.13103
1450;3.11724
1450;3.18069
1450;3.13655
1450;3.12552
1450;3.15862
1450;3.18621
1450;3.18345
1450;3.12828
1450;3.05931
1450;3.09241
1450;3.1531
1450;3.10621
1450;3.22207
1450;3.12552
1450;3.13103
1450;3.17793
1450;3.13655
1450;3.0731
1450;3.0869
1450;3.09517
1450;3.24138
1450;3.14759
1450;3.08138
1450;3.14483
1450;3.09793
1450;3.11172
1450;3.19448
1450;3.09517
1450;3.12552
1500;3.15467
1500;3.16
1500;3.14133
1500;3.14667
1500;3.11733
1500;3.17067
1500;3.16
1500;3.13867
1500;3.14133
1500;3.21867
1500;3.16
1500;3.11733
1500;3.11733
1500;3.128
1500;3.16
1500;3.21067
1500;3.032
1500;3.18667
1500;3.20267
1500;3.19467
1500;3.14133
1500;3.14133
1500;3.16
1500;3.21067
1500;3.15467
1500;3.10933
1500;3.22933
1500;3.08267
